Locality,Latitude,Longitude,Year,Count
St Andrews Beach,-38.41531,144.81855,2010,NA
St Andrews Beach,-38.41531,144.81855,2010,NA
St Andrews Beach,-38.41531,144.81855,2010,NA
St Andrews Beach,-38.41531,144.81855,2010,NA
St Andrews Beach,-38.41531,144.81855,2010,NA
St Andrews Beach,-38.41531,144.81855,2010,NA
St Andrews Beach,-38.41531,144.81855,2010,NA
St Andrews Beach,-38.41531,144.81855,2010,NA
St Andrews Beach,-38.41531,144.81855,2010,NA
St Andrews Beach,-38.41531,144.81855,2010,NA
St Andrews Beach,-38.41531,144.81855,2010,NA
St Andrews Beach,-38.41531,144.81855,2010,NA
St Andrews Beach,-38.41531,144.81855,2011,NA
St Andrews Beach,-38.41531,144.81855,2011,NA
St Andrews Beach,-38.41531,144.81855,2011,NA
St Andrews Beach,-38.41531,144.81855,2011,NA
St Andrews Beach,-38.41531,144.81855,2011,NA
St Andrews Beach,-38.41531,144.81855,2011,NA
St Andrews Beach,-38.41531,144.81855,2011,NA
St Andrews Beach,-38.41531,144.81855,2011,NA
St Andrews Beach,-38.41531,144.81855,2011,NA
St Andrews Beach,-38.41531,144.81855,2011,NA
St Andrews Beach,-38.41531,144.81855,2011,NA
St Andrews Beach,-38.41531,144.81855,2011,NA
St Andrews Beach,-38.41531,144.81855,2012,NA
St Andrews Beach,-38.41531,144.81855,2012,NA
St Andrews Beach,-38.41531,144.81855,2012,NA
St Andrews Beach,-38.41531,144.81855,2012,NA
St Andrews Beach,-38.41531,144.81855,2012,NA
St Andrews Beach,-38.41531,144.81855,2012,7
St Andrews Beach,-38.41531,144.81855,2012,25
St Andrews Beach,-38.41531,144.81855,2012,5
St Andrews Beach,-38.41531,144.81855,2012,NA
St Andrews Beach,-38.41531,144.81855,2012,NA
St Andrews Beach,-38.41531,144.81855,2012,NA
St Andrews Beach,-38.41531,144.81855,2012,NA
St Andrews Beach,-38.41531,144.81855,2013,NA
St Andrews Beach,-38.41531,144.81855,2013,NA
St Andrews Beach,-38.41531,144.81855,2013,NA
St Andrews Beach,-38.41531,144.81855,2013,3
St Andrews Beach,-38.41531,144.81855,2013,NA
St Andrews Beach,-38.41531,144.81855,2013,NA
St Andrews Beach,-38.41531,144.81855,2013,NA
St Andrews Beach,-38.41531,144.81855,2013,NA
St Andrews Beach,-38.41531,144.81855,2013,NA
St Andrews Beach,-38.41531,144.81855,2013,NA
St Andrews Beach,-38.41531,144.81855,2013,NA
St Andrews Beach,-38.41531,144.81855,2013,NA
St Andrews Beach,-38.41531,144.81855,2014,NA
St Andrews Beach,-38.41531,144.81855,2014,NA
St Andrews Beach,-38.41531,144.81855,2014,22
St Andrews Beach,-38.41531,144.81855,2014,NA
St Andrews Beach,-38.41531,144.81855,2014,NA
St Andrews Beach,-38.41531,144.81855,2014,NA
St Andrews Beach,-38.41531,144.81855,2014,NA
St Andrews Beach,-38.41531,144.81855,2014,NA
St Andrews Beach,-38.41531,144.81855,2014,NA
St Andrews Beach,-38.41531,144.81855,2014,NA
St Andrews Beach,-38.41531,144.81855,2014,NA
St Andrews Beach,-38.41531,144.81855,2014,NA
St Andrews Beach,-38.41531,144.81855,2015,0
St Andrews Beach,-38.41531,144.81855,2015,NA
St Andrews Beach,-38.41531,144.81855,2015,NA
St Andrews Beach,-38.41531,144.81855,2015,NA
St Andrews Beach,-38.41531,144.81855,2015,NA
St Andrews Beach,-38.41531,144.81855,2015,0
St Andrews Beach,-38.41531,144.81855,2015,NA
St Andrews Beach,-38.41531,144.81855,2015,NA
St Andrews Beach,-38.41531,144.81855,2015,NA
St Andrews Beach,-38.41531,144.81855,2015,NA
St Andrews Beach,-38.41531,144.81855,2015,NA
St Andrews Beach,-38.41531,144.81855,2015,NA
St Andrews Beach,-38.41531,144.81855,2016,NA
St Andrews Beach,-38.41531,144.81855,2016,NA
St Andrews Beach,-38.41531,144.81855,2016,NA
